Rebounds Per Game
2013-14 NBA 13.6 (1st)
2014-15 NBA 15.0 (1st)
2015-16 NBA 13.8 (2nd)
2016-17 NBA 13.6 (3rd)
Active 9.9 (4th)
Career NBA 9.9 (46th)
Career 9.9 (55th)
