Field Goal Pct
2012-13 NBA .643 (1st)
2013-14 NBA .676 (1st)
2014-15 NBA .710 (1st)
2015-16 NBA .703 (1st)
2016-17 NBA .698 (1st)
Active .673 (1st)
Career NBA .673 (1st)
Career .673 (1st)
