Defensive Box Plus/Minus
2013-14 NBA 4.2 (4th)
2015-16 NBA 3.8 (5th)
2016-17 NBA 2.9 (10th)
Active 2.7 (7th)
Career NBA 2.7 (28th)
Career 2.7 (31st)
