Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
DeAndre Jordan,,12.8,11.5,11.1,6.2,5.6,5.2,1.5,1.3,,,,
Brad Daugherty,80.9,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1,,,,
Larry Foust,74.8,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5,4.2,3.1,3.1,
Yao Ming,73.0,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3,,,,
Marc Gasol,73.0,11.5,10.2,8.4,8.2,7.9,6.4,5.6,3.7,,,,
Arnie Risen,71.9,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,,
Arvydas Sabonis,71.9,9.7,8.4,7.5,7.1,5.8,4.9,3.7,,,,,
Mel Daniels,71.4,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0.0,,,
Willis Reed,71.1,14.7,14.6,10.6,10.0,7.9,5.8,5.5,3.6,1.5,0.6,,
Joakim Noah,70.7,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,1.1,,,
Brook Lopez,69.9,9.0,7.9,7.0,6.3,6.2,5.8,2.3,0.3,,,,
