Blocks Per Game
2010-11 NBA 1.8 (10th)
2011-12 NBA 2.0 (4th)
2013-14 NBA 2.5 (3rd)
2014-15 NBA 2.2 (4th)
2015-16 NBA 2.3 (2nd)
2016-17 NBA 1.8 (8th)
Active 1.8 (4th)
Career NBA 1.8 (28th)
Career 1.8 (28th)
