Player,Sim,1,2,3,4,5,6,7,8
DeAndre Jordan,,12.8,11.5,11.1,6.2,5.6,5.2,1.5,1.3
Larry Foust,84.5,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5
Brad Daugherty,80.9,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1
Dave Robisch,77.6,10.1,9.1,8.5,7.8,5.2,5.0,2.3,2.3
Robert Parish,77.1,10.9,10.8,10.5,10.0,7.1,4.8,4.6,4.0
Willis Reed,77.0,14.7,14.6,10.6,10.0,7.9,5.5,3.6,0.6
Arnie Risen,76.7,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.6
Zelmo Beaty,74.9,16.0,11.8,10.8,10.3,8.4,5.2,4.8,4.5
Patrick Ewing,74.3,13.5,13.0,10.9,10.6,10.0,8.1,3.5,3.1
Bill Cartwright,74.3,10.1,10.0,9.8,9.7,6.4,5.8,5.0,0.0
Tom Owens,73.8,10.4,8.3,8.0,6.9,6.0,2.9,2.5,0.9
