Total Rebound Pct
2011-12 NBA 18.1 (10th)
2013-14 NBA 21.6 (2nd)
2014-15 NBA 24.5 (1st)
2015-16 NBA 22.2 (3rd)
2016-17 NBA 24.0 (3rd)
Active 20.5 (2nd)
Career NBA 20.5 (4th)
Career 20.5 (5th)
