Steals Per Game
1994-95 NBA 2.0 (6th)
1995-96 NBA 1.8 (8th)
1996-97 NBA 2.4 (4th)
1997-98 NBA 2.0 (6th)
1998-99 NBA 2.5 (2nd)
1999-00 NBA 2.7 (1st)
Career NBA 1.7 (46th)
Career 1.7 (48th)
