3-Pt Field Goals
1997-98 NBA 143 (7th)
1999-00 NBA 128 (10th)
2001-02 NBA 149 (10th)
2003-04 NBA 177 (3rd)
Career NBA 1546 (22nd)
Career 1546 (22nd)
