Offensive Box Plus/Minus
2001-02 NBA 4.6 (9th)
2002-03 NBA 4.6 (10th)
2005-06 NBA 5.8 (8th)
2006-07 NBA 5.4 (7th)
2007-08 NBA 4.2 (8th)
Career NBA 3.3 (40th)
Career 3.3 (39th)
