Free Throw Attempts
2000-01 NBA 538 (9th)
2002-03 NBA 548 (10th)
2004-05 NBA 708 (5th)
2005-06 NBA 598 (10th)
2008-09 NBA 545 (8th)
2009-10 NBA 586 (8th)
Active 8019 (4th)
Career NBA 8019 (20th)
Career 8019 (23rd)
