Points Per Game
2001-02 NBA 23.4 (8th)
2002-03 NBA 25.1 (6th)
2003-04 NBA 21.8 (9th)
2004-05 NBA 26.1 (4th)
2005-06 NBA 26.6 (7th)
2007-08 NBA 23.6 (7th)
2008-09 NBA 25.9 (4th)
2009-10 NBA 25.0 (7th)
2010-11 NBA 23.0 (10th)
2011-12 NBA 21.6 (8th)
Active 21.8 (7th)
Career NBA 21.8 (31st)
Career 21.8 (32nd)
