Free Throw Pct
2002-03 NBA .881 (7th)
2003-04 NBA .877 (8th)
2005-06 NBA .901 (4th)
2006-07 NBA .904 (2nd)
2007-08 NBA .879 (10th)
2008-09 NBA .890 (7th)
2009-10 NBA .915 (2nd)
2010-11 NBA .892 (7th)
2011-12 NBA .896 (3rd)
2013-14 NBA .899 (2nd)
2014-15 NBA .882 (8th)
2015-16 NBA .893 (5th)
Active .879 (4th)
Career NBA .879 (15th)
Career .879 (15th)
