Value Over Replacement Player
2000-01 NBA 5.3 (9th)
2002-03 NBA 6.1 (7th)
2004-05 NBA 5.9 (4th)
2005-06 NBA 6.0 (7th)
2006-07 NBA 6.2 (3rd)
2007-08 NBA 5.0 (8th)
Active 65.7 (3rd)
Career NBA 65.7 (19th)
Career 65.7 (20th)
