All-League
2000-01 All-NBA (3rd)
2001-02 All-NBA (2nd)
2002-03 All-NBA (2nd)
2003-04 All-NBA (3rd)
2004-05 All-NBA (1st)
2005-06 All-NBA (1st)
2006-07 All-NBA (1st)
2007-08 All-NBA (2nd)
2008-09 All-NBA (1st)
2009-10 All-NBA (2nd)
2010-11 All-NBA (2nd)
2011-12 All-NBA (3rd)
