Offensive Win Shares
2000-01 NBA 10.3 (4th)
2001-02 NBA 10.2 (2nd)
2002-03 NBA 10.8 (3rd)
2003-04 NBA 9.0 (3rd)
2004-05 NBA 10.3 (3rd)
2005-06 NBA 13.5 (1st)
2006-07 NBA 11.8 (1st)
2007-08 NBA 8.9 (9th)
2008-09 NBA 7.5 (8th)
2009-10 NBA 8.4 (5th)
2010-11 NBA 7.8 (9th)
2013-14 NBA 8.6 (7th)
Active 141.1 (1st)
Career NBA 141.1 (7th)
Career 141.1 (7th)
