2-Pt Field Goals
2004-05 NBA 572 (9th)
2005-06 NBA 641 (7th)
2006-07 NBA 601 (10th)
2008-09 NBA 713 (2nd)
2009-10 NBA 669 (3rd)
Active 8770 (1st)
Career NBA 8770 (19th)
Career 8770 (24th)
