Player Efficiency Rating
2001-02 NBA 24.1 (5th)
2002-03 NBA 25.6 (6th)
2003-04 NBA 22.5 (9th)
2004-05 NBA 26.1 (5th)
2005-06 NBA 28.1 (1st)
2006-07 NBA 27.6 (2nd)
2007-08 NBA 24.6 (5th)
2008-09 NBA 23.1 (9th)
2009-10 NBA 22.9 (8th)
2010-11 NBA 23.4 (10th)
2013-14 NBA 23.6 (10th)
Active 22.9 (7th)
Career NBA 22.9 (22nd)
Career 22.9 (23rd)
