Field Goals Missed
2004-05 NBA 782 (9th)
2005-06 NBA 813 (10th)
2008-09 NBA 842 (3rd)
2009-10 NBA 776 (6th)
Active 11699 (1st)
Career NBA 11699 (7th)
Career 11699 (7th)
