Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Aaron Brooks,,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,,,
Malik Sealy,91.5,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,,,
Scott Burrell,86.0,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,,,
Ron Brewer,84.9,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,,,
Johnny Dawkins,84.6,6.4,4.3,3.6,2.0,1.7,1.1,1.1,1.0,0.6,,
Chico Vaughn,83.5,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,,,
Jack George,83.2,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1,,,
Anthony Morrow,82.4,5.7,3.5,3.0,3.0,2.4,1.9,1.7,0.7,,,
Mitchell Wiggins,82.2,5.4,3.5,3.3,2.0,1.2,-0.1,,,,,
Chris Whitney,82.1,6.5,4.0,3.2,2.7,2.3,1.3,1.0,0.6,0.2,-0.2,-0.3
Chris Childs,82.0,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,,
