Player,Sim,1,2,3,4,5,6,7,8
Aaron Brooks,,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8
Malik Sealy,91.5,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2
Darnell Valentine,89.7,5.0,3.7,3.4,1.7,1.7,1.5,1.1,1.0
Johnny Dawkins,86.2,6.4,4.3,3.6,2.0,1.7,1.1,1.0,0.6
Scott Burrell,86.0,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1
Brian Shaw,85.9,5.9,3.2,2.2,1.8,1.3,1.1,1.0,0.6
Dell Curry,85.0,5.0,3.4,3.2,2.7,2.0,1.8,0.9,0.5
Ron Brewer,84.9,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1
Steve Blake,84.8,5.8,3.8,3.3,2.8,2.1,1.8,0.7,0.3
Chico Vaughn,83.5,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4
Jack George,83.2,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1
