Field Goal Pct
1992-93 NBA .568 (3rd)
1993-94 NBA .529 (9th)
1994-95 NBA .562 (5th)
1995-96 NBA .558 (6th)
1996-97 NBA .538 (8th)
Career NBA .530 (38th)
Career .530 (40th)
