Total Rebound Pct
1993-94 NBA 18.1 (10th)
1994-95 NBA 17.9 (10th)
1998-99 NBA 18.0 (10th)
1999-00 NBA 19.2 (4th)
Career NBA 17.1 (40th)
Career 17.1 (46th)
