Offensive Rebound Pct
1992-93 NBA 14.2 (4th)
1993-94 NBA 14.7 (3rd)
1994-95 NBA 13.6 (6th)
1995-96 NBA 12.4 (10th)
1996-97 NBA 14.1 (3rd)
1997-98 NBA 13.6 (4th)
1998-99 NBA 13.6 (9th)
1999-00 NBA 14.0 (3rd)
2000-01 NBA 13.3 (2nd)
2001-02 NBA 12.4 (8th)
2002-03 NBA 12.3 (4th)
Career NBA 13.4 (7th)
Career 13.4 (7th)
