Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,22,IND,NBA,PF,3,0,69,4,10,.400,0,0,,4,10,.400,.400,0,0,,5,14,19,2,0,5,1,8,8
1992-93,23,IND,NBA,PF,4,4,117,8,12,.667,0,0,,8,12,.667,.667,1,4,.250,4,28,32,4,4,4,3,15,17
1993-94,24,IND,NBA,PF,16,16,578,56,106,.528,0,1,.000,56,105,.533,.528,11,36,.306,63,96,159,11,18,17,30,52,123
1994-95,25,IND,NBA,PF,17,17,490,56,105,.533,0,0,,56,105,.533,.533,23,47,.489,53,83,136,6,7,14,22,56,135
1995-96,26,IND,NBA,PF,5,5,184,16,31,.516,0,0,,16,31,.516,.516,4,11,.364,20,36,56,4,3,6,10,16,36
1997-98,28,IND,NBA,C,16,16,466,56,86,.651,0,0,,56,86,.651,.651,29,64,.453,44,76,120,12,5,18,21,42,141
1998-99,29,IND,NBA,PF,13,13,394,45,77,.584,0,0,,45,77,.584,.584,28,50,.560,45,87,132,11,10,18,21,42,118
1999-00,30,IND,NBA,C,23,23,714,79,151,.523,0,0,,79,151,.523,.523,32,59,.542,83,180,263,17,11,31,18,83,190
2000-01,31,POR,NBA,C,2,0,20,0,2,.000,0,1,.000,0,1,.000,.000,1,2,.500,3,1,4,0,1,0,1,7,1
2001-02,32,POR,NBA,C,3,3,70,3,11,.273,0,0,,3,11,.273,.273,1,2,.500,6,14,20,4,4,3,2,16,7
2002-03,33,POR,NBA,C,6,6,162,14,24,.583,0,0,,14,24,.583,.583,17,26,.654,20,28,48,9,5,2,10,11,45
2004-05,35,IND,NBA,C,13,13,311,26,58,.448,0,0,,26,58,.448,.448,17,25,.680,37,44,81,5,9,6,9,35,69
2005-06,36,DET,NBA,C,8,0,36,0,6,.000,0,0,,0,6,.000,.000,2,4,.500,1,8,9,1,0,0,3,11,2
2006-07,37,DET,NBA,C,8,0,51,3,8,.375,0,0,,3,8,.375,.375,2,4,.500,5,7,12,1,2,2,2,14,8
