Value Over Replacement Player
2005-06 NBA 7.0 (3rd)
2008-09 NBA 9.7 (3rd)
2009-10 NBA 8.0 (2nd)
2010-11 NBA 5.7 (4th)
Active 57.6 (5th)
Career NBA 57.6 (24th)
Career 57.6 (26th)
