Points Per Game
2004-05 NBA 24.1 (9th)
2005-06 NBA 27.2 (5th)
2008-09 NBA 30.2 (1st)
2009-10 NBA 26.6 (5th)
2010-11 NBA 25.5 (4th)
2012-13 NBA 21.2 (8th)
Active 23.4 (4th)
Career NBA 23.4 (20th)
Career 23.4 (22nd)
