Offensive Box Plus/Minus
2005-06 NBA 5.9 (7th)
2006-07 NBA 6.5 (2nd)
2008-09 NBA 8.7 (3rd)
2009-10 NBA 7.4 (2nd)
2010-11 NBA 4.4 (7th)
2011-12 NBA 4.5 (10th)
Active 4.1 (7th)
Career NBA 4.1 (20th)
Career 4.1 (20th)
