2-Pt Field Goals
2004-05 NBA 617 (7th)
2005-06 NBA 686 (6th)
2008-09 NBA 766 (1st)
2009-10 NBA 646 (6th)
2010-11 NBA 629 (7th)
2015-16 NBA 533 (9th)
Active 7227 (5th)
Career NBA 7227 (43rd)
Career 7227 (47th)
