Player Efficiency Rating
2004-05 NBA 23.1 (10th)
2005-06 NBA 27.6 (4th)
2006-07 NBA 28.9 (1st)
2008-09 NBA 30.4 (2nd)
2009-10 NBA 28.0 (2nd)
2010-11 NBA 25.6 (3rd)
2011-12 NBA 26.3 (3rd)
2012-13 NBA 24.0 (7th)
Active 24.4 (4th)
Career NBA 24.4 (12th)
Career 24.4 (12th)
