Offensive Win Shares
2005-06 NBA 10.2 (7th)
2008-09 NBA 10.3 (4th)
2009-10 NBA 8.5 (4th)
2010-11 NBA 8.1 (7th)
Active 73.8 (8th)
Career NBA 73.8 (46th)
Career 73.8 (51st)
