Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,23,MIA,NBA,SG,1,0,23:00,6,13,.462,0,1,.000,2,2,1.000,2,3,1,2,1,1,2,14
2005-06,24,MIA,NBA,SG,1,1,30:39,9,11,.818,0,0,,2,2,1.000,3,4,3,2,1,3,1,20
2006-07,25,MIA,NBA,SG,1,1,24:22,5,12,.417,0,0,,0,0,,0,0,3,6,0,5,2,10
2007-08,26,MIA,NBA,SG,1,1,21:48,7,12,.583,0,1,.000,0,2,.000,1,4,3,0,1,2,1,14
2008-09,27,MIA,NBA,SG,1,1,26:39,6,13,.462,2,6,.333,4,7,.571,2,2,5,3,0,0,2,18
2009-10,28,MIA,NBA,SG,1,1,31:20,12,16,.750,0,1,.000,4,6,.667,3,6,11,5,0,3,4,28
2010-11,29,MIA,NBA,SG,1,1,20:16,6,9,.667,0,1,.000,2,2,1.000,1,4,2,1,0,4,2,14
2011-12,30,MIA,NBA,SG,1,1,32:54,11,15,.733,0,1,.000,2,2,1.000,3,10,10,2,0,4,4,24
2012-13,31,MIA,NBA,SG,1,1,28:49,10,13,.769,1,2,.500,0,0,,1,3,7,2,2,4,2,21
2013-14,32,MIA,NBA,SG,1,1,11:41,5,6,.833,0,0,,0,0,,1,1,3,2,0,1,0,10
2014-15,33,MIA,NBA,SG,,0,,,,,,,,,,,,,,,,,,
2015-16,34,MIA,NBA,SG,1,1,22:56,4,7,.571,0,1,.000,0,0,,1,4,6,2,0,3,0,8
