Steals Per Game
2005-06 NBA 1.9 (6th)
2008-09 NBA 2.2 (2nd)
2009-10 NBA 1.8 (4th)
2012-13 NBA 1.9 (6th)
Active 1.7 (10th)
Career NBA 1.7 (51st)
Career 1.7 (54th)
