Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Dwyane Wade,,14.7,14.4,13.0,12.8,11.0,9.6,8.8,7.7,5.5,4.9,4.6,3.5,3.3,,,,,
Walt Frazier,87.6,15.6,15.0,14.5,13.0,12.7,10.9,10.8,6.8,6.1,4.6,3.5,0.2,0.0,,,,,
Chauncey Billups,87.4,15.5,13.5,12.1,11.4,11.3,10.1,9.9,9.5,8.0,7.6,3.7,3.0,2.3,1.7,1.3,0.1,-0.3,
Kevin Johnson,82.8,12.7,12.2,11.7,11.6,10.0,8.7,8.2,5.1,4.8,4.0,3.5,0.5,,,,,,
Clyde Drexler,82.7,13.2,12.8,12.6,12.4,11.7,11.6,10.3,8.1,7.5,6.8,6.8,6.7,6.7,6.0,2.4,,,
Sidney Moncrief,81.6,13.4,13.2,12.7,11.7,11.2,9.9,5.0,4.9,3.7,2.9,1.8,,,,,,,
Gary Payton,80.2,13.9,12.9,12.6,12.5,11.7,11.5,10.8,9.3,9.1,8.1,7.8,7.2,5.4,4.1,3.9,3.4,1.3,
Steve Nash,80.0,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.9,7.3,5.9,4.8,4.3,3.0,1.0,0.7,0.1
Manu Ginobili,79.8,11.1,11.0,10.6,9.9,9.7,9.1,8.8,5.7,5.0,4.5,4.2,4.2,3.8,3.7,,,,
George Gervin,79.8,12.0,11.4,10.7,10.6,10.5,10.5,10.0,9.4,9.3,7.3,5.5,4.6,3.0,1.6,,,,
Allen Iverson,79.6,11.8,11.6,10.6,9.2,9.0,9.0,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7,,,,
