Player,Sim,1,2,3,4
Anthony Bennett,,0.3,0.1,-0.4,
Eddie Mast,-47.9,0.4,0.1,-0.2,
Scooter McCray,-54.5,0.3,0.1,0.0,
Justin Reed,-60.4,0.4,0.3,-0.2,
Devin Ebanks,-61.8,0.4,0.3,-0.1,
William Franklin,-63.4,0.3,0.1,-0.2,
Riney Lochmann,-66.0,0.4,0.3,-0.2,
Anthony Frederick,-68.7,0.5,0.2,0.0,
Ken Durrett,-72.4,0.5,0.1,0.0,0.0
Pape Sow,-73.9,0.6,0.2,0.1,
Alton Ford,-74.7,0.8,0.1,-0.1,
