Season,Team,Lg,Salary
2003-04,Orlando Magic,NBA,"$366,931"
2004-05,Milwaukee Bucks,NBA,"$620,046"
2005-06,Atlanta Hawks,NBA,"$4,000,000"
2006-07,Atlanta Hawks,NBA,"$4,000,000"
2007-08,Atlanta Hawks,NBA,"$4,000,000"
2008-09,Atlanta Hawks,NBA,"$4,000,000"
2009-10,Atlanta Hawks,NBA,"$4,750,000"
2010-11,Atlanta Hawks,NBA,"$4,251,250"
2011-12,Atlanta Hawks,NBA,"$4,750,000"
2012-13,Atlanta Hawks,NBA,"$5,248,750"
2013-14,Milwaukee Bucks,NBA,"$5,200,000"
2014-15,Milwaukee Bucks,NBA,"$5,200,000"
2015-16,Dallas Mavericks,NBA,"$5,200,000"
