Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Zaza Pachulia,,6.0,5.0,4.8,4.2,3.9,3.9,3.1,2.9,2.7,2.7,1.7,1.1,0.3,,,
Leroy Ellis,89.3,6.4,5.8,4.7,4.3,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6,0.9,,
Dave Corzine,85.9,5.2,5.1,4.9,4.7,4.2,4.0,2.9,2.9,1.4,1.1,0.9,0.4,-0.2,,,
Rasho Nesterovic,85.8,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3.0,2.2,1.5,0.8,0.0,,,,
Olden Polynice,85.1,6.7,5.3,5.2,5.1,4.5,3.3,3.2,2.6,2.5,2.0,2.0,1.6,1.5,1.5,-0.1,
Brendan Haywood,84.7,6.8,6.7,5.2,5.0,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1,0.0,,,
Alton Lister,84.2,5.5,5.3,4.1,4.1,4.0,3.8,3.7,1.9,1.7,1.0,0.9,0.4,0.3,0.1,0.0,-0.2
Ervin Johnson,84.1,6.4,5.2,5.1,4.9,3.9,3.0,2.3,2.3,1.9,1.3,0.8,0.7,0.0,,,
Mark Eaton,83.3,6.6,5.5,5.4,5.3,4.1,4.0,3.8,3.7,3.6,1.9,0.8,,,,,
Shawn Bradley,83.2,7.4,6.3,5.1,4.2,3.5,3.0,3.0,2.9,2.3,2.3,1.9,-1.1,,,,
Theo Ratliff,82.7,6.7,5.6,5.4,5.2,5.2,4.0,3.9,3.8,2.3,2.0,1.4,1.4,0.8,0.1,0.0,0.0
