2-Pt Field Goal Pct
1999-00 NBA .539 (4th)
2000-01 NBA .516 (10th)
2001-02 NBA .532 (5th)
2004-05 NBA .550 (6th)
2006-07 NBA .557 (9th)
Career NBA .530 (52nd)
Career .530 (56th)
