Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,23,LAL,NBA,SF,3,0,1.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
1999-00,24,SEA,NBA,SF,5,0,16.8,2.8,5.2,.538,0.0,0.4,.000,2.8,4.8,.583,.538,2.6,3.0,.867,1.8,1.2,3.0,0.4,0.6,0.4,1.6,1.2,8.2
2001-02,26,POR,NBA,SF,3,0,21.7,1.7,5.0,.333,0.0,0.3,.000,1.7,4.7,.357,.333,2.0,2.7,.750,0.7,1.7,2.3,0.3,1.0,0.3,1.0,2.3,5.3
2002-03,27,POR,NBA,SF,7,0,22.1,3.6,7.4,.481,0.0,0.6,.000,3.6,6.9,.521,.481,2.9,4.1,.690,2.0,1.7,3.7,1.6,0.6,0.1,1.4,1.4,10.0
2005-06,30,DEN,NBA,SG,4,1,14.5,2.3,4.3,.529,0.0,0.0,,2.3,4.3,.529,.529,0.5,1.3,.400,1.3,0.3,1.5,0.8,0.3,0.0,0.8,1.5,5.0
