Player,Sim,1,2,3,4,5,6,7,8,9
Steven Hunter,,2.8,2.6,2.5,1.0,0.9,0.6,0.1,0.1,
Jake Voskuhl,85.3,3.3,2.7,2.5,1.7,1.0,0.6,0.2,0.0,-0.3
Jake Tsakalidis,83.7,2.8,2.8,1.3,1.2,0.9,0.6,0.3,,
Jeff Wilkins,82.8,2.4,2.3,2.3,1.0,0.5,0.3,,,
Hub Reed,81.7,2.8,2.0,1.7,1.3,1.0,0.6,0.0,,
Victor Alexander,77.9,3.0,2.5,2.3,1.1,-0.1,,,,
Francisco Elson,77.0,3.1,2.9,1.8,1.8,1.6,0.6,0.0,0.0,0.0
Jim McIlvaine,76.1,3.0,1.9,1.8,1.5,0.8,0.3,0.1,,
Carlos Rogers,76.1,4.0,2.2,2.0,0.9,0.9,0.5,0.5,0.0,
Hank Finkel,75.7,3.4,3.4,2.3,1.2,1.0,0.9,0.9,0.4,0.0
Meyers Leonard,75.6,2.8,2.4,2.2,0.6,,,,,
