Season,Team,Lg,Salary
2011-12,Washington Wizards,NBA,"$473,604"
2012-13,Philadelphia 76ers,NBA,"$89,670"
2012-13,Washington Wizards,NBA,"$67,253"
2013-14,Atlanta Hawks,NBA,"$884,293"
2014-15,Atlanta Hawks,NBA,"$2,433,333"
2015-16,Utah Jazz,NBA,"$2,433,333"
