MVP Award Shares
2000-01 NBA 0.004 (13)
2001-02 NBA 0.017 (11)
2002-03 NBA 0.001 (11)
2007-08 NBA 0.001 (14)
2008-09 NBA 0.017 (7)
Active 0.040 (19)
Career 0.040 (115)
