Value Over Replacement Player
2001-02 NBA 5.7 (7th)
2007-08 NBA 4.9 (9th)
2010-11 NBA 4.7 (8th)
Active 61.6 (4th)
Career NBA 61.6 (22nd)
Career 61.6 (23rd)
