Points Per Game
2000-01 NBA 25.3 (8th)
2001-02 NBA 26.1 (3rd)
2002-03 NBA 25.9 (5th)
2003-04 NBA 22.9 (5th)
2005-06 NBA 26.8 (6th)
Career NBA 19.8 (58th)
Career 19.8 (64th)
