Field Goal Attempts
2000-01 NBA 1513 (10th)
2001-02 NBA 1598 (3rd)
2002-03 NBA 1592 (4th)
2003-04 NBA 1497 (3rd)
Active 19434 (4th)
Career NBA 19434 (20th)
Career 19434 (25th)
