Field Goals Missed
2000-01 NBA 826 (10th)
2001-02 NBA 891 (3rd)
2002-03 NBA 929 (6th)
2003-04 NBA 895 (2nd)
Active 10780 (3rd)
Career NBA 10780 (13th)
Career 10780 (15th)
