3-Pt Field Goal Attempts
2000-01 NBA 384 (10th)
2001-02 NBA 520 (3rd)
2002-03 NBA 391 (10th)
Active 5799 (2nd)
Career NBA 5799 (4th)
Career 5799 (4th)
