Defensive Win Shares
2001-02 NBA 5.6 (4th)
2002-03 NBA 4.8 (10th)
2007-08 NBA 5.7 (5th)
2008-09 NBA 4.8 (8th)
2010-11 NBA 5.1 (6th)
2011-12 NBA 3.7 (10th)
Active 63.0 (2nd)
Career NBA 63.0 (23rd)
Career 63.0 (25th)
