Free Throw Attempts
2000-01 NBA 738 (3rd)
2001-02 NBA 643 (3rd)
2002-03 NBA 753 (1st)
2003-04 NBA 631 (2nd)
2004-05 NBA 668 (6th)
2005-06 NBA 812 (4th)
2008-09 NBA 553 (7th)
Active 8575 (1st)
Career NBA 8575 (11th)
Career 8575 (12th)
