Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
James Jones,,4.7,4.0,3.7,2.5,2.2,1.7,1.5,1.2,1.0,0.9,0.7,0.2,0.0,,
Shandon Anderson,89.0,4.9,4.2,3.9,2.7,2.1,2.0,1.7,1.2,0.5,0.4,,,,,
Pat Cummings,88.8,4.2,4.0,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,,,
Charlie Villanueva,86.1,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,,,,
Kwame Brown,84.1,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1,,,
Fred Roberts,83.7,4.2,3.9,3.5,3.0,2.6,2.2,2.0,1.9,1.8,0.6,0.4,0.2,0.0,,
Eduardo Najera,83.7,4.8,4.1,4.0,4.0,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1,,,
Scott Williams,82.9,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,1.1,1.1,0.9,0.4,0.3,0.1,-0.1
Stromile Swift,82.8,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1.0,-0.1,,,,,,
Lamond Murray,82.5,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,,,,
Reggie Evans,82.5,4.3,3.8,3.0,2.7,2.3,2.1,1.9,1.7,1.5,1.3,1.3,1.2,0.2,,
