Player,Sim,1,2,3,4,5,6,7,8
Travis Diener,,2.5,1.9,0.7,0.6,0.0,,,
Chris Douglas-Roberts,91.7,2.4,1.6,0.7,0.6,0.1,0.0,,
Jeff Judkins,87.5,3.0,1.8,0.7,0.6,0.2,,,
Maurice McHartley,85.6,2.4,1.8,0.8,,,,,
Bo Lamar,85.5,2.5,1.5,1.0,0.5,,,,
Chris Quinn,81.4,2.6,2.1,0.6,0.1,0.1,-0.2,,
Rodrigue Beaubois,80.6,2.2,2.0,0.4,0.2,,,,
Tom Garrick,80.4,2.5,1.8,1.4,0.2,,,,
Marcus Banks,80.0,2.3,1.9,0.8,0.7,0.5,0.4,0.0,0.0
Rumeal Robinson,79.7,2.4,1.9,1.0,0.5,-0.1,-0.6,,
Robert Smith,79.6,2.9,1.4,0.8,0.6,0.0,0.0,0.0,
