Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2010-11,21,CLE,NBA,SG,54,933,.374,12.9,.682,.318,.187,.038,.138,.318,.376,.533,.241,.182,.250,.370,.365,.014,4,.824,.120,.364,0,0
2011-12,22,CLE,NBA,SG,26,456,.400,12.6,.760,.320,.140,.100,.200,.240,.421,.563,.429,.400,.200,.333,.333,.013,2,.750,.194,.429,0,0
2013-14,24,LAL,NBA,SG,9,180,.400,12.3,.714,.329,.171,.043,.171,.286,.420,.652,.083,.333,.333,.350,.381,.043,3,.857,.150,.333,0,0
