Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2012-13,19,STJOHNS,33,1040,202,450,0,8,87,136,72,218,35,36,36,66,91,491,.449,.000,.640,31.5,14.9,6.6,1.1
2013-14,20,STJOHNS,33,957,181,366,1,5,61,108,68,202,39,21,32,52,92,424,.495,.200,.565,29.0,12.8,6.1,1.2
