3-Pt Field Goal Attempts
1997-98 NBA 368 (10th)
1999-00 NBA 407 (3rd)
2000-01 NBA 467 (4th)
2001-02 NBA 528 (2nd)
2002-03 NBA 533 (2nd)
2004-05 NBA 556 (4th)
2005-06 NBA 653 (1st)
2006-07 NBA 443 (6th)
2007-08 NBA 452 (7th)
2008-09 NBA 486 (2nd)
Career NBA 7429 (1st)
Career 7429 (1st)
