True Shooting Pct
2000-01 NBA .610 (2nd)
2001-02 NBA .598 (9th)
2008-09 NBA .624 (3rd)
2010-11 NBA .615 (7th)
2011-12 NBA .607 (8th)
Career NBA .580 (50th)
Career .580 (51st)
