Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,24,MIL,NBA,SG,1,0,17:00,4,13,.308,1,6,.167,5,6,.833,1,1,2,3,1,3,2,14
2000-01,25,MIL,NBA,SG,1,0,19:00,7,15,.467,1,7,.143,0,0,,1,3,2,1,1,1,0,15
2001-02,26,MIL,NBA,SG,1,0,25:00,6,17,.353,3,10,.300,0,0,,1,3,5,3,0,1,3,15
2003-04,28,SEA,NBA,SG,1,0,24:00,6,13,.462,1,4,.250,3,4,.750,2,3,4,1,0,3,2,16
2004-05,29,SEA,NBA,SG,1,0,23:00,6,16,.375,5,11,.455,0,0,,0,4,1,0,0,1,2,17
2005-06,30,SEA,NBA,SG,1,0,18:00,4,13,.308,0,7,.000,0,0,,0,2,1,0,0,1,2,8
2006-07,31,SEA,NBA,SG,1,0,21:22,4,10,.400,4,7,.571,0,0,,0,1,3,1,0,1,0,12
2007-08,32,BOS,NBA,SG,1,0,18:54,10,14,.714,5,9,.556,3,5,.600,0,2,1,2,0,0,0,28
2008-09,33,BOS,NBA,SG,1,0,18:12,4,10,.400,0,3,.000,0,0,,1,3,1,0,0,1,0,8
2010-11,35,BOS,NBA,SG,1,0,17:09,4,9,.444,2,7,.286,2,2,1.000,1,4,2,0,0,1,2,12
