3-Pt Field Goals
1997-98 NBA 134 (9th)
1999-00 NBA 172 (2nd)
2000-01 NBA 202 (2nd)
2001-02 NBA 229 (1st)
2002-03 NBA 201 (1st)
2004-05 NBA 209 (4th)
2005-06 NBA 269 (1st)
2006-07 NBA 165 (8th)
2007-08 NBA 180 (5th)
2008-09 NBA 199 (2nd)
2010-11 NBA 168 (5th)
Career NBA 2973 (1st)
Career 2973 (1st)
