Offensive Win Shares
1999-00 NBA 9.0 (5th)
2000-01 NBA 11.5 (1st)
2002-03 NBA 7.6 (10th)
2004-05 NBA 9.7 (6th)
2005-06 NBA 9.8 (8th)
2008-09 NBA 7.4 (9th)
Career NBA 111.7 (16th)
Career 111.7 (17th)
