Effective Field Goal Pct
2000-01 NBA .557 (2nd)
2001-02 NBA .561 (4th)
2008-09 NBA .575 (5th)
2010-11 NBA .577 (5th)
Career NBA .530 (67th)
Career .530 (69th)
