Offensive Box Plus/Minus
1999-00 NBA 5.0 (5th)
2000-01 NBA 6.5 (3rd)
2001-02 NBA 6.4 (1st)
2002-03 NBA 5.6 (3rd)
2003-04 NBA 5.9 (2nd)
2004-05 NBA 5.6 (3rd)
2005-06 NBA 6.7 (5th)
2006-07 NBA 5.4 (6th)
2008-09 NBA 4.3 (7th)
Career NBA 4.2 (17th)
Career 4.2 (17th)
