3-Pt Field Goal Pct
2000-01 NBA .432 (8th)
2001-02 NBA .434 (10th)
2010-11 NBA .444 (2nd)
2011-12 NBA .453 (4th)
Career NBA .400 (39th)
Career .400 (39th)
