Free Throw Pct
1997-98 NBA .875 (3rd)
1998-99 NBA .903 (4th)
1999-00 NBA .887 (5th)
2000-01 NBA .888 (7th)
2002-03 NBA .916 (2nd)
2003-04 NBA .904 (4th)
2004-05 NBA .883 (8th)
2005-06 NBA .902 (3rd)
2006-07 NBA .903 (4th)
2007-08 NBA .907 (4th)
2008-09 NBA .952 (2nd)
2009-10 NBA .913 (3rd)
2010-11 NBA .881 (9th)
2012-13 NBA .886 (5th)
Career NBA .894 (7th)
Career .894 (6th)
