Player,Sim,1,2,3,4
Will Barton,,4.3,1.3,0.6,-0.5
Charles Williams,87.0,3.9,1.3,0.6,-0.7
Pep Saul,86.3,4.2,1.5,0.6,
Ron Perry,84.3,4.4,1.4,0.3,
Terry Dehere,83.7,5.0,1.2,0.5,-0.4
Allen Crabbe,82.6,4.3,1.3,0.1,
Jeffrey Congdon,80.9,4.3,0.9,0.7,0.3
Wali Jones,80.0,4.0,1.3,0.8,0.3
Ernie Beck,79.7,4.3,2.1,1.1,-0.4
Ronnie Lester,78.0,3.9,1.7,0.7,0.0
Erick Strickland,77.6,4.9,1.3,0.3,-0.9
