Blocks Per Game
2010-11 NBA 2.4 (2nd)
2011-12 NBA 2.2 (2nd)
2012-13 NBA 2.0 (8th)
Active 1.6 (9th)
Career NBA 1.6 (46th)
Career 1.6 (49th)
